real complex
[0.000458 -0.006500]
[0.000427 -0.006653]
[0.000336 -0.006592]
[0.000549 -0.006683]
[0.000397 -0.006714]
[0.000366 -0.006714]
[0.000336 -0.006622]
[0.000427 -0.006714]
[0.000488 -0.006439]
[0.000580 -0.006714]
[0.000427 -0.006683]
[0.000519 -0.006714]
[0.000671 -0.006592]
[0.000549 -0.006592]
[0.000580 -0.006500]
[0.000488 -0.006683]
[0.000366 -0.006500]
[0.000397 -0.006561]
[0.000610 -0.006683]
[0.000427 -0.006744]
[0.000580 -0.006622]
[0.000519 -0.006500]
[0.000427 -0.006531]
[0.000671 -0.006653]
[0.000580 -0.006683]
[0.000580 -0.006744]
[0.000671 -0.006531]
[0.000549 -0.006561]
[0.000580 -0.006775]
[0.000610 -0.006531]
[0.000488 -0.006409]
[0.000671 -0.006622]
[0.000549 -0.006592]
[0.000519 -0.006683]
[0.000671 -0.006653]
[0.000519 -0.006500]
[0.000671 -0.006531]
[0.000427 -0.006653]
[0.000610 -0.006592]
[0.000488 -0.006561]
[0.000549 -0.006622]
[0.000549 -0.006561]
[0.000549 -0.006653]
[0.000641 -0.006653]
[0.000519 -0.006531]
[0.000671 -0.006561]
[0.000671 -0.006683]
[0.000458 -0.006409]
[0.000580 -0.006592]
[0.000549 -0.006683]
[0.000580 -0.006653]
[0.000488 -0.006531]
[0.000427 -0.006622]
[0.000549 -0.006653]
[0.000610 -0.006470]
[0.000732 -0.006714]
[0.000702 -0.006592]
[0.000732 -0.006683]
[0.000458 -0.006561]
[0.000671 -0.006683]
[0.000610 -0.006775]
[0.000641 -0.006561]
[0.000610 -0.006683]
[0.000702 -0.006561]
[0.000641 -0.006653]
[0.000610 -0.006683]
[0.000641 -0.006561]
[0.000732 -0.006622]
[0.000824 -0.006531]
[0.000702 -0.006500]
[0.000763 -0.006622]
[0.000793 -0.006775]
[0.000610 -0.006531]
[0.000732 -0.006531]
[0.000610 -0.006622]
[0.000519 -0.006592]
[0.000671 -0.006561]
[0.000793 -0.006409]
[0.000641 -0.006714]
[0.000671 -0.006622]
[0.000519 -0.006714]
[0.000702 -0.006622]
[0.000732 -0.006683]
[0.000610 -0.006744]
[0.000671 -0.006653]
[0.000732 -0.006592]
[0.000763 -0.006653]
[0.000610 -0.006531]
[0.000641 -0.006622]
[0.000671 -0.006561]
[0.000732 -0.006622]
[0.000641 -0.006622]
[0.000641 -0.006775]
[0.000641 -0.006622]
[0.000580 -0.006653]
[0.000763 -0.006775]
[0.000580 -0.006744]
[0.000702 -0.006622]
[0.000793 -0.006592]
[0.000671 -0.006744]
[0.000610 -0.006531]
[0.000580 -0.006561]
[0.000641 -0.006653]
[0.000763 -0.006683]
[0.000854 -0.006653]
[0.000702 -0.006500]
[0.000702 -0.006531]
[0.000763 -0.006531]
[0.000793 -0.006622]
[0.000549 -0.006439]
[0.000641 -0.006622]
[0.000519 -0.006775]
[0.000458 -0.006561]
[0.000732 -0.006653]
[0.000610 -0.006592]
[0.000671 -0.006622]
[0.000732 -0.006561]
[0.000824 -0.006622]
[0.000763 -0.006744]
[0.000641 -0.006653]
[0.000732 -0.006683]
[0.000732 -0.006622]
[0.000732 -0.006683]
[0.000793 -0.006744]
[0.000702 -0.006683]
[0.000732 -0.006866]
[0.000763 -0.006805]
[0.000732 -0.006653]
[0.000793 -0.006714]
[0.000732 -0.006683]
[0.000793 -0.006744]
[0.000763 -0.006531]
[0.000641 -0.006683]
[0.000793 -0.006622]
[0.000732 -0.006409]
